MYTH,GLORIOUS SOAR,DEFENCE,AMULET,170,3361,4621,5041,3781,3451,4009,2877,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_amulet_amulet_leg33_myth_battle_event_sd_a78fe2e7809a108a9a535c8dc2e60c7f.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_amulet_amulet_leg33_myth_battle_event_sd_bfda63e3cf3cdc34626dc9f4ce3b74b6.png,35741
NECRO,SOUL EATER JAWS,DEFENCE,HEAD,153,3023,4157,4535,3401,1107,1104,1263,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_helm_aw_helm_leg03_n_sd_cc6a12f51cdfb114cd36bd4fd592e707.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_helm_aw_helm_leg03_n_sd_d0477640b29ffa8732b857f410789c8c.png,1097
NECRO,SOUL EATER CARAPACE,MAGIC,CHEST,156,3094,3481,4255,4642,1103,1106,1275,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_armor_armor_leg03_n_sd_9744759f5fb0a885b8b454b5d708fa4d.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_armor_armor_leg03_n_sd_dce3b6a074821930eeb742c1fa21b2c2.png,1098
NECRO,SOUL EATER RUNEWRAPS,DAMAGE,GLOVES,153,4157,4535,3023,3401,1105,1108,1274,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_gloves_gloves_leg03_n_sd_20e56feb075165a323bd741502949acb.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_gloves_gloves_leg03_n_sd_1514ba5e34567ba7c1b7c662a0d1ceda.png,1099
NECRO,SOUL EATER RUNEBOOTS,DEFENCE,FEET,154,3041,4181,4562,3421,1104,1111,1273,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_shoes_shoes_leg03_n_sd_2b3138dde6e2424ba64f0c1c968c8d0a.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_shoes_shoes_leg03_n_sd_14eea29da60a72d6d29185ec153bc997.png,1100
NECRO,SOUL DEVOURER,,MAIN_HAND,160,3165,4353,4748,3561,,,,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_main_hand_w_mainhand_leg03_sd_39c4bad7f60f02eaa3f029d59ac2131e.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_main_hand_w_mainhand_leg03_sd_c2b3bcc62eb2de80011cc7aaa5043a44.png,1101
NECRO,HUNGER OF THE DEAD,,OFF_HAND,160,4353,4748,3165,3561,,,,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_off_hand_w_offhand_leg03_n_sd_f97a5883e62fb3643b471cc320392a6e.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_off_hand_w_offhand_leg03_n_sd_93315816c0d50cc8668ce6c6504b37f5.png,1102
NECRO,ELIXIR OF VITALITY,MAGIC,TALISMAN,152,3006,3381,4133,4508,1098,1112,1269,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_talisman_talisman_leg03_sd_c0a97dce3be56f296a256e78ed89c050.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_talisman_talisman_leg03_sd_e890488c4583d5b9d125f36808bf3269.png,1103
NECRO,SPELLBINDER PENDANT,DEFENCE,AMULET,156,3077,4230,4615,3461,1100,1114,1271,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_amulet_amulet_leg03_sd_d226b85ccecb0a4caf7e0a4f89d9fe16.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_amulet_amulet_leg03_sd_4333d917deed80cb1b6a08de3e3b3e17.png,1104
NECRO,RING OF THE UNDEAD,DAMAGE,RING,156,4255,4642,3094,3481,1099,1113,1270,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_ring_ring_leg03_sd_bb38f739f0c5f51e273ce14c1e58ffa3.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_ring_ring_leg03_sd_e3a5fe5f75c8617778d232e41881de7d.png,1105
SACRED,SELF-SACRIFICE RING,MAGIC,RING,156,3112,3501,4279,4668,1112,1103,1261,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_ring_ring_leg01_sd_3472af0ab0d9b6ab96e6b31ff5b5b7f3.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_ring_ring_leg01_sd_5e857078084d21b223268dc735fd3a72.png,1106
SACRED,STAR OF TRANSCENDENCE,DAMAGE,AMULET,158,4304,4695,3130,3521,1097,1105,1262,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_amulet_amulet_leg01_sd_8b3d4ada103bed58c5a97d6fa8c1e82d.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_amulet_amulet_leg01_sd_d38acbcf5ad368ca3749b0f47eb9bfe5.png,1107
SACRED,SACRED TEAR,DEFENCE,TALISMAN,160,3165,4353,4748,3561,1113,1100,1260,https://storage.googleapis.com/ql4-files-eu/icon_raw_hero_item_talisman_talisman_leg01_sd_77ba4ba653ade3942bc6dae6ca9977bb.png,https://storage.googleapis.com/ql4-files-eu/prev_hero_item_talisman_talisman_leg01_sd_90cf2aa82861cbaf44d70d9efa1ee0b3.png,1108
